time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-09-17 18:14:14,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,480.77307017476,0.328084,0,0,0,0,0,0,480.77307017476,0,0,0,0,0,0,272, -2.6, -9.9,0,0,1024,1024,1024,1024,0,0,0,0,274.2,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,480.77307017476,0,41,Motors_Started,
100,2023-09-17 18:14:14,0,0,0,,,480.77307017476,0.328084,0,0,0,0,0,0,480.77307017476,0,0,0,0,0,0,271.7, -2.2, -9.5,0,0,1024,1024,1024,1024,0,0,0,0,274.1,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,480.77307017476,0,41,Motors_Started,
200,2023-09-17 18:14:14,0,0,0,,,480.77307017476,0.328084,0,0,0,0,0,0,480.77307017476,0,0,0,0,0,-0.223694,272, -2.1, -7.3,0,0,1024,1024,1024,1024,0,0,0,0,274,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,480.77307017476,0,41,Motors_Started,
300,2023-09-17 18:14:14,0,0,0,,,480.77307017476,0.328084,0.3131716,0,0,0,0,0,480.77307017476,0,0,0,0.223694,-0.223694,-1.11847,271.1, -2.1, -5.2,0,0,1024,1024,1024,1024,0,0,0,0,273.9,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,480.77307017476,0,41,Motors_Started,
400,2023-09-17 18:14:14,0,0,0.328084,,,481.10115417476,0.328084,0.6263432,0,0,0,0,0,481.10115417476,0.328084,0,0,0.447388,-0.447388,-1.565858,267.1, -4.8, -5.7,0,0,1024,1024,1024,1024,0,0,0,0,273.7,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,481.10115417476,0.328084,41,Motors_Started,
500,2023-09-17 18:14:15,0,0,0.656168,,,481.42923817476,0.328084,0.447388,0,0,0,0,0,481.42923817476,0.656168,0,0,0.447388,0,-1.565858,269.6, -5.1, -5,0,0,1024,1024,1024,1024,0,0,0,0,273.5,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,481.42923817476,0.656168,41,Motors_Started,
600,2023-09-17 18:14:15,0,0,0.656168,,,481.42923817476,0.328084,0.447388,0,0,0,0,0,481.42923817476,0.656168,0,0,0.447388,0,-1.342164,275.9, -6, -7.6,0,0,1024,1024,1024,1024,0,0,0,0,273.4,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,481.42923817476,0.656168,41,Motors_Started,
700,2023-09-17 18:14:15,0,0,0.984252,,,481.75732217476,0.328084,0.3131716,0,0,0,0,0,481.75732217476,0.984252,0,0,0.223694,0.223694,-0.671082,286.6, -7.6, -13.2,0,0,1024,1024,1024,1024,0,0,0,0,273.8,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,481.75732217476,0.984252,41,Motors_Started,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 46. Setting new Maximum Flight Altitude to 30m (98 ft)"
800,2023-09-17 18:14:15,0,0,0.984252,,,481.75732217476,0.328084,0.3131716,0,0,0,0,0,481.75732217476,0.984252,0,0,0.223694,0.223694,-0.223694,295.2, -6.6, -16.7,0,0,1024,1024,1024,1024,0,0,0,0,275.6,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,481.75732217476,0.984252,41,Motors_Started,
900,2023-09-17 18:14:15,0,0,0.984252,,,481.75732217476,0.328084,0.3131716,0,0,0,0,0,481.75732217476,0.984252,0,0,0.223694,0.223694,0,298.8, -5.8, -15.6,0,0,1024,1024,1024,1024,0,0,0,0,278.4,0,0,83,3.955,3.963,3.962,3.961,0,0,0,32,481.75732217476,0.984252,41,Motors_Started,
