time_ms,X_m,Y_m,Z_m,disp_length_m,disp_angle_deg
33.3667,-0.0000,0.0001,0.0000,0.0001,104.9655
233.5667,-0.2486,0.0443,0.0000,0.0010,156.4067
433.7667,-0.3959,-0.1934,0.1000,0.0001,100.1106
633.9667,-0.2185,-0.2978,0.2000,0.0011,24.3657
834.1667,0.6161,-0.3490,0.3000,0.0043,-160.0926
1034.3667,0.2329,-0.3405,0.3000,0.0019,-110.3414
1234.5667,-0.0080,-0.3205,0.3000,0.0059,-51.0788
1434.7667,-0.2518,-0.2195,0.4000,0.0062,-56.4272
1634.9667,-0.6621,-0.0077,0.4000,0.0071,-108.2608
1835.1667,-0.7697,0.0076,0.4000,0.0126,-50.4763
2035.3667,-0.8281,-0.0393,0.4000,0.0079,-101.8146
2235.5667,-0.9536,0.0287,0.4000,0.0080,-112.6450
2435.7667,-0.9141,0.0002,0.4000,0.0212,-34.6606
2635.9667,-0.9593,-0.0483,0.5000,0.0141,-114.9656
2836.1667,-1.0028,-0.1313,0.6000,0.0134,-76.5249
3036.3667,-0.9928,-0.2359,0.6000,0.0188,-53.2849
3236.5667,-0.9896,-0.3110,0.7000,0.0300,-110.8923
3436.7667,-0.9461,-0.4491,0.7000,0.0223,-40.4742
3636.9667,-0.8857,-0.5600,0.7000,0.0276,-47.0915
3837.1667,-0.8520,-0.6571,0.7000,0.0163,-55.8858
4037.3667,-0.8825,-1.8278,0.7000,0.0123,-121.0102
4237.5667,-0.8126,-2.2882,0.7000,0.0048,-67.7405
4437.7667,-0.7928,-2.3086,0.7000,0.0044,-48.5495
4637.9667,-0.8065,-2.3018,0.7000,0.0043,-123.2596
4838.1667,-0.8327,-2.2393,0.7000,0.0039,-141.6173
5038.3667,-0.7468,-2.2288,0.7000,0.0123,-170.5992
5238.5667,-0.8043,-2.2278,0.7000,0.0176,-176.6471
5438.7667,-0.7432,-2.2273,0.7000,0.0204,-178.0452
5638.9667,-1.0161,-2.2769,0.7000,0.0231,-175.8307
5839.1667,-1.0802,-2.2912,0.7000,0.0321,-178.3807
6039.3667,-1.2805,-2.2956,0.7000,0.0271,-173.7637
6239.5667,-1.5867,-2.3810,0.7000,0.0277,-175.7529
6439.7667,-1.8017,-2.3930,0.7000,0.0255,-175.4982
6639.9667,-1.9553,-2.3071,0.7000,0.0254,-175.5933
6840.1667,-2.1540,-2.3327,0.7000,0.0280,-174.8406
7040.3667,-2.3537,-2.2574,0.7000,0.0298,-174.6251
7240.5667,-2.6831,-2.1608,0.7000,0.0344,-177.4282
7440.7667,-2.6762,-2.0106,0.7000,0.0159,-164.1165
7640.9667,-2.6150,-2.0882,0.7000,0.0251,-165.6571
7841.1667,-2.5797,-2.3202,0.7000,0.0281,-175.0083
8041.3667,-2.5745,-2.4004,0.7000,0.0242,-171.7875
8241.5667,-2.1872,-2.3636,0.7000,0.0249,-171.7375
8441.7667,-0.6535,-2.2171,0.7000,0.0314,-173.9020
8641.9667,-0.7288,-2.0871,0.7000,0.0331,-170.6919
8842.1667,-0.9177,-2.1381,0.7000,0.0307,-168.0669
9042.3667,-1.1970,-2.4755,0.7000,0.0284,-162.6909
9242.5667,-1.4142,-2.5843,0.7000,0.0303,-169.1487
9442.7667,-1.6343,-2.7070,0.7000,0.0366,-168.4611
9642.9667,-1.8125,-2.7320,0.7000,0.0316,-166.4276
9843.1667,-2.0302,-2.6524,0.7000,0.0299,-162.7790
10043.3667,-2.8497,-2.4399,0.7000,0.0169,-156.8218
10243.5667,-4.6448,0.0796,0.8000,0.0358,-6.5942
10443.7667,-4.1426,1.3471,0.8000,0.1028,-31.5219
10643.9667,-3.3546,0.8372,0.8000,0.0718,-124.1698
10844.1667,-3.5238,0.1411,0.7000,0.0800,-156.7873
11044.3667,-3.8323,-0.8903,0.7000,0.0503,-134.9428
11244.5667,-4.5948,-2.3199,0.6000,0.0353,-142.8559
11444.7667,-5.3022,-2.7876,0.6000,0.0663,-162.6276
11644.9667,-5.8204,-2.9522,0.6000,0.0403,-114.1119
11845.1667,-6.1573,-3.1168,0.6000,0.0645,-144.4239
12045.3667,-6.3797,-3.2721,0.6000,0.0541,-126.4911
12245.5667,-6.7839,-3.5185,0.6000,0.2247,-171.9801
12445.7667,-7.0763,-3.9515,0.6000,0.3970,-6.4933
